timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778502813325,41,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,38,0,16
1778502813373,114,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,78,0,0
1778502813373,78,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,78,0,0
1778502813452,7,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,7,0,0
1778502813459,28,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,19,0,0
1778502813490,57,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,42,0,0
1778502813550,16,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,14,0,0
1778502813567,116,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,76,0,0
1778502813567,76,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,76,0,0
1778502813644,6,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,6,0,0
1778502813651,32,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,23,0,0
1778502813684,65,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,45,0,0
1778502813750,24,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,23,0,0
1778502813775,117,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,84,0,0
1778502813775,84,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,84,0,0
1778502813859,6,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,6,0,0
1778502813865,27,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,21,0,0
1778502813893,64,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,44,0,0
1778502813958,17,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,15,0,0
1778502813976,106,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,79,0,0
1778502813976,79,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,79,0,0
1778502814055,5,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,5,0,0
1778502814061,21,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,15,0,0
1778502814082,65,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,49,0,0
1778502814148,14,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,13,0,0
1778502814163,112,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,2,2,http://localhost:8080/dashboard,79,0,0
1778502814163,79,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,2,2,http://localhost:8080/login,79,0,0
1778502814243,5,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,2,2,http://localhost:8080/,5,0,0
1778502814248,27,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,2,2,http://localhost:8080/dashboard,20,0,0
1778502814271,15,GET Login Page,200,,Calendar Day Users 1-2,text,true,,21823,244,2,2,http://localhost:8080/login,14,0,1
1778502814276,57,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,2,2,http://localhost:8080/calendar/day/2026-01-20,42,0,0
1778502814287,108,POST Login,200,,Calendar Day Users 1-2,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,79,0,0
1778502814287,79,POST Login-0,302,,Calendar Day Users 1-2,,true,,400,455,1,1,http://localhost:8080/login,79,0,0
1778502814367,4,POST Login-1,302,,Calendar Day Users 1-2,,true,,356,292,1,1,http://localhost:8080/,4,0,0
1778502814371,24,POST Login-2,200,,Calendar Day Users 1-2,text,true,,36848,301,1,1,http://localhost:8080/dashboard,18,0,0
1778502814396,82,GET Calendar Day,200,,Calendar Day Users 1-2,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,48,0,0
1778502814479,16,GET Login Page,200,,Calendar Day Users 1-2,text,true,,21823,244,1,1,http://localhost:8080/login,15,0,0
1778502814495,107,POST Login,200,,Calendar Day Users 1-2,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,81,0,0
1778502814495,81,POST Login-0,302,,Calendar Day Users 1-2,,true,,400,455,1,1,http://localhost:8080/login,81,0,0
1778502814576,6,POST Login-1,302,,Calendar Day Users 1-2,,true,,356,292,1,1,http://localhost:8080/,6,0,0
1778502814582,20,POST Login-2,200,,Calendar Day Users 1-2,text,true,,36848,301,1,1,http://localhost:8080/dashboard,16,0,0
1778502814602,50,GET Calendar Day,200,,Calendar Day Users 1-2,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,35,0,0
1778502814653,14,GET Login Page,200,,Calendar Day Users 1-2,text,true,,21823,244,1,1,http://localhost:8080/login,14,0,0
1778502814668,103,POST Login,200,,Calendar Day Users 1-2,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,79,0,0
1778502814668,79,POST Login-0,302,,Calendar Day Users 1-2,,true,,400,455,1,1,http://localhost:8080/login,79,0,0
1778502814747,4,POST Login-1,302,,Calendar Day Users 1-2,,true,,356,292,1,1,http://localhost:8080/,4,0,0
1778502814752,19,POST Login-2,200,,Calendar Day Users 1-2,text,true,,36848,301,1,1,http://localhost:8080/dashboard,15,0,0
1778502814772,55,GET Calendar Day,200,,Calendar Day Users 1-2,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,43,0,0
1778502814828,16,GET Login Page,200,,Calendar Day Users 1-2,text,true,,21823,244,1,1,http://localhost:8080/login,15,0,0
1778502814845,109,POST Login,200,,Calendar Day Users 1-2,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,82,0,0
1778502814845,82,POST Login-0,302,,Calendar Day Users 1-2,,true,,400,455,1,1,http://localhost:8080/login,82,0,0
1778502814928,4,POST Login-1,302,,Calendar Day Users 1-2,,true,,356,292,1,1,http://localhost:8080/,4,0,0
1778502814933,21,POST Login-2,200,,Calendar Day Users 1-2,text,true,,36848,301,1,1,http://localhost:8080/dashboard,17,0,0
1778502814954,59,GET Calendar Day,200,,Calendar Day Users 1-2,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,41,0,0
1778502815014,16,GET Login Page,200,,Calendar Day Users 1-2,text,true,,21823,244,1,1,http://localhost:8080/login,14,0,0
1778502815031,109,POST Login,200,,Calendar Day Users 1-2,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,73,0,0
1778502815031,73,POST Login-0,302,,Calendar Day Users 1-2,,true,,400,455,1,1,http://localhost:8080/login,73,0,0
1778502815104,7,POST Login-1,302,,Calendar Day Users 1-2,,true,,356,292,1,1,http://localhost:8080/,7,0,0
1778502815111,29,POST Login-2,200,,Calendar Day Users 1-2,text,true,,36848,301,1,1,http://localhost:8080/dashboard,20,0,0
1778502815140,62,GET Calendar Day,200,,Calendar Day Users 1-2,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,45,0,0
1778502815270,19,GET Login Page,200,,Calendar Day Users 1-3,text,true,,21823,244,1,1,http://localhost:8080/login,18,0,1
1778502815290,106,POST Login,200,,Calendar Day Users 1-3,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,79,0,0
1778502815290,79,POST Login-0,302,,Calendar Day Users 1-3,,true,,400,455,1,1,http://localhost:8080/login,79,0,0
1778502815370,4,POST Login-1,302,,Calendar Day Users 1-3,,true,,356,292,1,1,http://localhost:8080/,4,0,0
1778502815374,22,POST Login-2,200,,Calendar Day Users 1-3,text,true,,36848,301,1,1,http://localhost:8080/dashboard,16,0,0
