timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778502559760,15,GET Login Page,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,14
1778502559779,3,POST Login,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,3
1778502559784,1,GET Calendar Day,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,Calendar day page should contain the target date heading.,2631,0,1,1,http://localhost:8080/calendar/day/2026-01-20,0,0,1
1778502559787,1,GET Login Page,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,1
1778502559788,1,POST Login,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,1
1778502559790,1,GET Calendar Day,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,Calendar day page should contain the target date heading.,2631,0,1,1,http://localhost:8080/calendar/day/2026-01-20,0,0,1
1778502559792,1,GET Login Page,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,1
1778502559793,1,POST Login,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,1
1778502559795,1,GET Calendar Day,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,Calendar day page should contain the target date heading.,2631,0,1,1,http://localhost:8080/calendar/day/2026-01-20,0,0,1
1778502559797,1,GET Login Page,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,1
1778502559799,1,POST Login,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,0
1778502559800,2,GET Calendar Day,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,Calendar day page should contain the target date heading.,2631,0,1,1,http://localhost:8080/calendar/day/2026-01-20,0,0,2
1778502559802,1,GET Login Page,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,1
1778502559804,0,POST Login,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,,2631,0,1,1,http://localhost:8080/login,0,0,0
1778502559805,1,GET Calendar Day,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Calendar Day Users 1-1,text,false,Calendar day page should contain the target date heading.,2631,0,1,1,http://localhost:8080/calendar/day/2026-01-20,0,0,1
1778502657497,389,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,386,0,14
1778502657895,327,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,189,0,0
1778502657895,189,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,189,0,0
1778502658085,57,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,57,0,0
1778502658142,80,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,54,0,0
1778502658224,162,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,112,0,0
1778502658390,15,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,13,0,0
1778502658406,112,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,77,0,0
1778502658406,77,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,77,0,0
1778502658484,6,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,6,0,0
1778502658490,28,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,21,0,0
1778502658519,60,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,44,0,0
1778502658580,15,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,14,0,0
1778502658597,136,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,72,0,0
1778502658597,72,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,72,0,0
1778502658669,6,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,6,0,0
1778502658675,58,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,48,0,0
1778502658734,73,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,54,0,0
1778502658808,17,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,16,0,0
1778502658826,105,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,74,0,0
1778502658826,74,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,74,0,0
1778502658901,4,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,4,0,0
1778502658905,26,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,20,0,0
1778502658932,66,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,47,0,0
1778502658999,15,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,15,0,0
1778502659015,109,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,75,0,0
1778502659015,75,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,75,0,0
